x1,x2,True_Class,PT_Cluster,FHE_Cluster,Heap_Position
0.0000,0.0000,1,0,393,0
0.1000,-0.1000,1,0,393,5
0.2000,-0.2000,1,0,393,12
0.3000,-0.3000,1,0,393,27
0.4000,-0.4000,1,0,393,39
0.5000,-0.5000,1,0,393,53
0.6000,-0.6000,1,0,393,69
0.7000,-0.7000,1,0,393,94
0.8000,-0.8000,1,0,393,120
0.9000,-0.9000,1,0,393,161
1.0000,-1.0000,1,0,393,208
0.1000,0.1000,1,0,393,4
0.2000,0.0000,1,0,393,11
0.3000,-0.1000,1,0,393,26
0.4000,-0.2000,1,0,393,38
0.5000,-0.3000,1,0,393,52
0.6000,-0.4000,1,0,393,68
0.7000,-0.5000,1,0,393,93
0.8000,-0.6000,1,0,393,119
0.9000,-0.7000,1,0,393,160
1.0000,-0.8000,1,0,393,207
1.1000,-0.9000,1,0,393,244
0.2000,0.2000,1,0,393,10
0.3000,0.1000,1,0,393,25
0.4000,0.0000,1,0,393,37
0.5000,-0.1000,1,0,393,51
0.6000,-0.2000,1,0,393,67
0.7000,-0.3000,1,0,393,92
0.8000,-0.4000,1,0,393,117
0.9000,-0.5000,1,0,393,159
1.0000,-0.6000,1,0,393,206
1.1000,-0.7000,1,0,393,243
1.2000,-0.8000,1,0,393,276
0.3000,0.3000,1,0,393,24
0.4000,0.2000,1,0,393,36
0.5000,0.1000,1,0,393,50
0.6000,0.0000,1,0,393,66
0.7000,-0.1000,1,0,393,91
0.8000,-0.2000,1,0,393,116
0.9000,-0.3000,1,0,393,158
1.0000,-0.4000,1,0,393,205
1.1000,-0.5000,1,0,393,242
1.2000,-0.6000,1,0,393,275
1.3000,-0.7000,1,0,393,303
0.4000,0.4000,1,0,393,35
0.5000,0.3000,1,0,393,49
0.6000,0.2000,1,0,393,65
0.7000,0.1000,1,0,393,90
0.8000,0.0000,1,0,393,115
0.9000,-0.1000,1,0,393,157
1.0000,-0.2000,1,0,393,204
1.1000,-0.3000,1,0,393,241
1.2000,-0.4000,1,0,393,274
1.3000,-0.5000,1,0,393,302
1.4000,-0.6000,1,0,393,330
0.5000,0.5000,1,0,393,48
0.6000,0.4000,1,0,393,64
0.7000,0.3000,1,0,393,89
0.8000,0.2000,1,0,393,114
0.9000,0.1000,1,0,393,156
1.0000,0.0000,1,0,393,203
1.1000,-0.1000,1,0,393,240
1.2000,-0.2000,1,0,393,273
1.3000,-0.3000,1,0,393,301
1.4000,-0.4000,1,0,393,329
1.5000,-0.5000,1,0,393,347
0.6000,0.6000,1,0,393,63
0.7000,0.5000,1,0,393,88
0.8000,0.4000,1,0,393,113
0.9000,0.3000,1,0,393,155
1.0000,0.2000,1,0,393,202
1.1000,0.1000,1,0,393,239
1.2000,0.0000,1,0,393,272
1.3000,-0.1000,1,0,393,300
1.4000,-0.2000,1,0,393,328
1.5000,-0.3000,1,0,393,346
1.6000,-0.4000,1,0,393,369
0.7000,0.7000,1,0,393,87
0.8000,0.6000,1,0,393,112
0.9000,0.5000,1,0,393,154
1.0000,0.4000,1,0,393,201
1.1000,0.3000,1,0,393,238
1.2000,0.2000,1,0,393,271
1.3000,0.1000,1,0,393,299
1.4000,0.0000,1,0,393,327
1.5000,-0.1000,1,0,393,345
1.6000,-0.2000,1,0,393,368
1.7000,-0.3000,1,0,393,381
0.8000,0.8000,1,0,393,111
0.9000,0.7000,1,0,393,153
1.0000,0.6000,1,0,393,197
1.1000,0.5000,1,0,393,237
1.2000,0.4000,1,0,393,269
1.3000,0.3000,1,0,393,298
1.4000,0.2000,1,0,393,325
1.5000,0.1000,1,0,393,344
1.6000,0.0000,1,0,393,367
1.7000,-0.1000,1,0,393,380
1.8000,-0.2000,1,0,393,393
0.9000,0.9000,1,0,393,150
1.0000,0.8000,1,0,393,196
1.1000,0.7000,1,0,393,236
1.2000,0.6000,1,0,393,268
1.3000,0.5000,1,0,393,297
1.4000,0.4000,1,0,393,324
1.5000,0.3000,1,0,393,343
1.6000,0.2000,1,0,393,366
1.7000,0.1000,1,0,393,379
1.8000,0.0000,1,0,393,392
1.9000,-0.1000,1,0,393,397
1.0000,1.0000,1,0,393,194
1.1000,0.9000,1,0,393,235
1.2000,0.8000,1,0,393,267
1.3000,0.7000,1,0,393,296
1.4000,0.6000,1,0,393,323
1.5000,0.5000,1,0,393,342
1.6000,0.4000,1,0,393,365
1.7000,0.3000,1,0,393,378
1.8000,0.2000,1,0,393,391
1.9000,0.1000,1,0,393,396
2.0000,0.0000,1,0,790,399
0.2651,-0.1290,1,0,393,20
1.5575,-0.3965,1,0,393,358
1.5264,-0.2716,1,0,393,354
1.1077,0.2457,1,0,393,247
0.6960,-0.6104,1,0,393,86
1.0373,0.7914,1,0,393,217
0.2247,-0.1800,1,0,393,15
0.7711,-0.6377,1,0,393,107
1.0567,-0.4622,1,0,393,227
1.6907,-0.2706,1,0,393,377
0.1808,-0.0369,1,0,393,8
0.6505,-0.1364,1,0,393,75
0.4929,0.2614,1,0,393,47
0.8938,-0.8598,1,0,393,148
1.8210,0.0933,1,0,393,395
1.2430,-0.7056,1,0,393,285
0.8546,0.6483,1,0,393,137
1.4322,0.2099,1,0,393,335
0.9494,0.8794,1,0,393,176
1.6638,-0.2414,1,0,393,375
1.3763,-0.2501,1,0,393,318
0.8133,0.2702,1,0,393,123
1.5102,-0.2968,1,0,393,351
0.5721,0.5601,1,0,393,60
1.1619,0.0849,1,0,393,258
0.8544,0.4235,1,0,393,139
1.4315,-0.1273,1,0,393,334
0.9479,-0.1010,1,0,393,177
0.9618,-0.7465,1,0,393,180
1.7774,0.2084,1,0,393,389
1.0239,-0.0591,1,0,393,213
0.9120,0.9039,1,0,393,164
0.8787,-0.6539,1,0,393,146
0.9313,0.4367,1,0,393,169
1.5026,0.1717,1,0,393,348
0.3425,0.1248,1,0,393,31
0.3026,0.1903,1,0,393,28
1.0005,0.6527,1,0,393,199
0.4890,0.0501,1,0,393,45
0.9439,0.4401,1,0,393,173
0.6112,-0.4236,1,0,393,71
0.4432,0.1981,1,0,393,41
0.7243,0.6216,1,0,393,97
0.9922,-0.2696,1,0,393,193
1.1063,-0.1086,1,0,393,246
0.6786,0.5244,1,0,393,80
1.0610,0.1467,1,0,393,228
1.4914,0.4973,1,0,393,340
0.9973,-0.2454,1,0,393,195
1.3206,0.4997,1,0,393,308
0.8483,0.3567,1,0,393,135
1.6783,-0.0595,1,0,393,376
0.9148,-0.2911,1,0,393,165
1.0349,-0.2907,1,0,393,218
1.0758,0.2379,1,0,393,231
0.9430,0.0221,1,0,393,174
1.7758,-0.1024,1,0,393,388
1.1601,0.1746,1,0,393,257
1.4009,0.4360,1,0,393,326
1.0426,-0.4792,1,0,393,223
1.4672,0.1475,1,0,393,338
1.3742,-0.5299,1,0,393,317
0.7311,0.6292,1,0,393,98
1.3941,-0.0703,1,0,393,321
1.5299,0.3445,1,0,393,355
1.3035,0.6402,1,0,393,304
0.6454,0.6297,1,0,393,74
0.4826,-0.1126,1,0,393,44
1.1790,-0.8085,1,0,393,261
1.1170,0.2039,1,0,393,250
0.7492,0.1274,1,0,393,100
1.5833,-0.2780,1,0,393,363
1.3388,0.3665,1,0,393,311
1.0400,0.5889,1,0,393,220
0.8416,-0.2334,1,0,393,134
0.5526,0.3365,1,0,393,59
0.9110,0.6738,1,0,393,163
0.7033,0.4101,1,0,393,95
1.0414,0.7563,1,0,393,222
1.4217,0.3478,1,0,393,332
1.0264,0.4810,1,0,393,214
0.9646,-0.8083,1,0,393,181
0.2342,-0.1387,1,0,393,16
0.2874,0.2588,1,0,393,23
0.4926,0.2731,1,0,393,46
0.9838,-0.8556,1,0,393,190
1.5118,0.0717,1,0,393,352
1.3789,0.2196,1,0,393,319
1.1867,-0.6357,1,0,393,264
0.2632,0.0931,1,0,393,19
0.3078,-0.2188,1,0,393,29
0.2663,0.0163,1,0,393,21
1.5988,0.1187,1,0,393,364
1.2436,-0.6842,1,0,393,286
1.3616,0.3249,1,0,393,315
0.4793,0.1141,1,0,393,43
1.8126,0.0212,1,0,393,394
1.2730,0.4082,1,0,393,292
1.4297,-0.3838,1,0,393,333
0.9602,0.7685,1,0,393,179
1.2488,0.7003,1,0,393,287
