x1,x2,True_Class,PT_Cluster,FHE_Cluster,Heap_Position
3.2777,0.8141,1,200,151,114
0.3876,0.1768,1,200,151,80
0.2685,0.5830,1,200,151,163
2.0311,0.2446,1,200,151,37
0.1887,0.4613,1,200,151,142
3.5255,0.2656,1,200,151,12
2.2296,0.6822,1,200,151,118
3.3921,0.4210,1,200,151,33
3.5898,0.8325,1,200,151,100
1.2279,0.8109,1,200,151,173
1.3007,0.1465,1,200,151,42
3.5970,0.4218,1,200,151,31
3.1068,0.7797,1,200,151,113
0.2211,0.6126,1,200,151,167
1.4968,0.4960,1,200,151,101
2.8605,0.5357,1,200,151,70
1.4507,0.1424,1,200,151,36
1.7458,0.0664,1,200,151,21
1.4048,0.3297,1,200,151,76
1.7696,0.7778,1,200,151,155
0.4645,0.6724,1,200,151,170
2.7508,0.1655,1,200,151,17
1.5710,0.0914,1,200,151,30
1.1817,0.8578,1,200,151,180
0.6620,0.6128,1,200,151,158
0.8286,0.7980,1,200,151,178
3.3139,0.2166,1,200,151,11
3.6256,0.5386,1,200,151,47
3.6112,0.5847,1,200,151,55
2.9045,0.4650,1,200,151,51
3.0804,0.2455,1,200,151,18
3.8512,0.5742,1,200,151,46
0.9450,0.0770,1,200,151,38
3.8342,0.2249,1,200,151,6
2.1791,0.7849,1,200,151,143
2.7164,0.9443,1,200,151,157
0.0298,0.9313,1,200,151,199
0.0955,0.3497,1,200,151,123
3.8355,0.8897,1,200,151,111
1.1427,0.8117,1,200,151,174
3.7474,0.6549,1,200,151,67
0.9489,0.1220,1,200,151,50
0.1608,0.7020,1,200,151,182
3.2888,0.7378,1,200,151,94
1.3562,0.0291,1,200,151,25
0.9163,0.5962,1,200,151,146
1.2529,0.5010,1,200,151,116
2.4712,0.3964,1,200,151,54
2.3649,0.9928,1,200,151,172
2.1723,0.2837,1,200,151,40
0.6713,0.0555,1,200,151,45
2.1654,0.1520,1,200,151,23
2.6613,0.4678,1,200,151,62
1.9265,0.7412,1,200,151,140
1.8996,0.6492,1,200,151,125
3.8299,0.7268,1,200,151,78
1.1335,0.5162,1,200,151,122
2.3099,0.7679,1,200,151,136
1.3714,0.9567,1,200,151,190
0.1519,0.2844,1,200,151,107
2.0969,0.4114,1,200,151,69
1.3005,0.7202,1,200,151,159
3.5348,0.1818,1,200,151,7
1.2179,0.4610,1,200,151,108
2.7270,0.6993,1,200,151,105
0.6821,0.0547,1,200,151,43
0.8378,0.9129,1,200,151,192
0.7992,0.5019,1,200,151,133
0.0420,0.6896,1,200,151,184
0.5210,0.0797,1,200,151,52
0.7197,0.4450,1,200,151,120
0.1975,0.3627,1,200,151,121
1.7245,0.6701,1,200,151,135
3.5745,0.0853,1,200,151,0
1.4167,0.7237,1,200,151,156
3.0371,0.5482,1,200,151,68
3.6450,0.3496,1,200,151,19
0.0496,0.0134,1,200,151,58
1.0239,0.9772,1,200,151,195
1.8156,0.3286,1,200,151,61
2.3125,0.5204,1,200,151,83
0.8553,0.4300,1,200,151,115
0.7606,0.7245,1,200,151,171
1.4849,0.7936,1,200,151,165
2.7257,0.7646,1,200,151,119
2.7893,0.2437,1,200,151,22
3.8036,0.2515,1,200,151,8
1.5916,0.4320,1,200,151,88
3.1025,0.6743,1,200,151,86
0.5652,0.6793,1,200,151,169
0.9854,0.1876,1,200,151,60
2.9482,0.3120,1,200,151,29
1.3236,0.6445,1,200,151,141
0.5525,0.6484,1,200,151,166
0.6354,0.4741,1,200,151,132
3.9287,0.2044,1,200,151,3
0.7809,0.8003,1,200,151,181
1.8726,0.8147,1,200,151,160
2.7598,0.1629,1,200,151,16
3.5048,0.6488,1,200,151,72
3.6833,0.5917,1,200,151,53
2.4411,0.0970,1,200,151,14
0.0315,0.4621,1,200,151,148
3.3870,0.0794,1,200,151,1
1.9826,0.5884,1,200,151,109
2.6965,0.2424,1,200,151,24
1.1593,0.1901,1,200,151,57
0.5760,0.9963,1,200,151,197
3.5384,0.2815,1,200,151,15
3.3047,0.7726,1,200,151,98
0.4385,0.8845,1,200,151,196
1.9379,0.8263,1,200,151,161
1.4340,0.3384,1,200,151,77
3.1129,0.6551,1,200,151,84
0.4134,0.1506,1,200,151,73
1.3588,0.4797,1,200,151,106
1.7313,0.9587,1,200,151,183
2.1309,0.0047,1,200,151,10
0.0579,0.9339,1,200,151,198
1.3652,0.6990,1,200,151,153
3.1011,0.9826,1,200,151,154
0.3311,0.2638,1,200,151,96
1.0868,0.3540,1,200,151,90
1.9964,0.5283,1,200,151,93
3.8459,0.7958,1,200,151,87
0.9859,0.4344,1,200,151,112
1.6882,0.9382,1,200,151,179
0.1620,0.8295,1,200,151,193
0.2877,0.8579,1,200,151,194
0.9728,0.9165,1,200,151,191
1.3051,0.6219,1,200,151,138
3.5154,0.4627,1,200,151,34
1.7363,0.8127,1,200,151,162
1.7881,0.1121,1,200,151,26
0.6930,0.8314,1,200,151,188
0.4591,0.2837,1,200,151,95
1.4216,0.9426,1,200,151,187
