x1,x2,True_Class,PT_Cluster,FHE_Cluster,Heap_Position
15.4640,19.4409,0,0,146,11
17.7983,14.8367,0,0,146,59
15.0522,17.2602,0,0,146,60
15.3265,18.1245,0,0,146,33
17.7211,15.0053,0,0,146,56
16.7703,16.5096,0,0,146,36
14.5202,15.2777,0,0,146,120
13.0365,16.5854,0,0,146,121
12.9726,17.9263,0,-1,-1,97
15.8985,17.3809,0,0,146,34
17.4951,17.3044,0,0,146,14
15.4290,14.2952,0,0,146,126
17.3656,14.5727,0,0,146,84
15.3067,17.2094,0,0,146,55
16.0827,15.4634,0,0,146,91
17.0917,17.5600,0,0,146,15
16.9116,14.9890,0,0,146,83
17.4422,16.4065,0,0,146,29
16.0756,14.5156,0,0,146,116
15.9407,14.9483,0,0,146,109
16.3072,14.9000,0,0,146,99
15.6273,14.0664,0,0,146,128
16.2231,18.0958,0,0,146,19
18.5820,18.2984,0,0,146,1
14.6839,12.5133,0,0,146,179
18.0406,14.2820,0,0,146,70
16.9226,15.4166,0,0,146,67
16.1448,14.0772,0,0,146,119
15.5834,17.4993,0,0,146,38
15.3563,15.9997,0,0,146,94
15.5020,15.2259,0,0,146,113
17.5806,14.6431,0,0,146,73
19.5359,17.3495,0,0,146,2
17.1991,15.8414,0,0,146,46
18.0528,16.1468,0,0,146,23
15.7983,16.6047,0,0,146,58
15.5120,17.1197,0,0,146,52
17.0188,18.0452,0,0,146,12
15.0616,13.7979,0,0,146,145
19.2077,14.2998,0,0,146,37
15.2413,14.1172,0,0,146,133
13.4800,15.2144,0,0,146,144
17.5143,15.5952,0,0,146,44
19.3998,16.5515,0,0,146,8
14.3853,17.2844,0,0,146,77
12.5038,15.8406,0,0,146,148
14.5953,14.5792,0,0,146,138
16.4044,16.5052,0,0,146,48
14.9307,13.9586,0,0,146,143
16.7770,14.8480,0,0,146,92
14.9371,14.3088,0,0,146,136
14.8611,14.7618,0,0,146,127
18.4363,16.9572,0,0,146,9
13.6519,17.5881,0,0,146,93
13.0717,20.5201,0,-1,-1,25
14.8945,15.9053,0,0,146,106
15.8362,15.5648,0,0,146,95
15.2934,16.1949,0,0,146,88
15.8895,14.6806,0,0,146,115
16.4760,15.1737,0,0,146,87
14.2752,15.1935,0,0,146,131
18.4192,16.2710,0,0,146,17
17.4179,16.3666,0,0,146,32
14.3428,15.3748,0,0,146,123
15.7446,15.1492,0,0,146,107
17.5479,13.6618,0,0,146,104
16.3384,18.4990,0,0,146,13
16.5278,16.4721,0,0,146,43
15.7585,14.7760,0,0,146,117
17.4294,15.5536,0,0,146,50
14.9692,17.9135,0,0,146,41
14.9882,16.4450,0,0,146,90
18.7688,17.8611,0,0,146,5
11.8488,16.2259,0,0,146,154
14.9125,17.3603,0,0,146,61
14.5812,14.6913,0,0,146,134
17.2207,15.2994,0,0,146,62
14.4517,15.2015,0,0,146,124
17.5746,11.7335,1,1,460,142
15.1593,16.7917,0,0,146,72
15.8593,15.7597,0,0,146,85
14.8812,13.6643,0,0,146,151
17.5061,15.6569,0,0,146,42
16.4077,15.9492,0,0,146,65
14.3321,16.4796,0,0,146,105
17.3265,14.7527,0,0,146,76
16.2282,14.7003,0,0,146,108
16.9978,15.0612,0,0,146,75
18.5195,18.0621,0,0,146,6
15.6272,15.1682,0,0,146,111
13.6691,14.7616,0,0,146,150
17.2089,15.8510,0,0,146,45
17.9445,13.4884,0,0,146,98
16.6038,15.7889,0,0,146,64
15.5254,15.9746,0,0,146,89
18.1270,16.6261,0,0,146,16
17.7556,16.1532,0,0,146,28
18.0631,13.9859,0,0,146,81
15.2447,13.4001,0,0,146,149
16.8611,14.1324,0,0,146,110
16.6306,17.1213,0,0,146,30
16.2315,16.2718,0,0,146,57
15.3492,17.1801,0,0,146,54
16.5457,17.3388,0,0,146,27
15.4792,14.1565,0,0,146,129
15.9852,16.2795,0,0,146,66
14.9367,16.9359,0,0,146,74
14.9714,15.7472,0,0,146,112
15.0812,14.5040,0,0,146,130
16.0673,16.6687,0,0,146,51
14.5134,16.4144,0,0,146,101
15.6038,18.5234,0,0,146,20
16.5157,15.1785,0,0,146,86
16.1788,15.6728,0,0,146,79
18.3742,16.2976,0,0,146,18
19.1106,17.5936,0,0,146,3
15.8487,13.0658,0,0,146,146
14.5193,16.6634,0,0,146,96
17.5210,19.4902,0,-1,-1,0
17.7429,18.1655,0,0,146,7
17.6849,16.3670,0,0,146,26
17.0571,14.0977,0,0,146,103
13.2984,18.2434,0,-1,-1,78
16.0727,15.9948,0,0,146,71
17.6686,17.5843,0,0,146,10
18.1393,18.4202,0,0,146,4
13.1623,14.8153,0,0,146,159
17.4634,16.6513,0,0,146,24
17.4023,16.8694,0,0,146,21
14.2923,15.3198,0,0,146,125
17.5792,14.6935,0,0,146,69
14.9105,11.5546,1,1,460,198
14.8898,15.7512,0,0,146,114
16.3940,16.6561,0,0,146,40
18.9102,14.4874,0,0,146,39
17.9887,15.1311,0,0,146,47
16.8118,12.1841,1,1,460,147
15.0836,15.3659,0,0,146,118
16.5774,17.5690,0,0,146,22
17.9506,15.1076,0,0,146,49
14.5170,17.4431,0,0,146,68
15.9166,16.4265,0,0,146,63
16.6646,16.0965,0,0,146,53
15.8347,15.9536,0,0,146,82
15.6100,17.9846,0,0,146,31
16.0630,15.0598,0,0,146,100
16.7968,16.4879,0,0,146,35
16.5396,14.5664,0,0,146,102
12.9813,16.0770,0,0,146,135
17.0785,11.6825,1,1,460,153
15.6990,7.3291,1,1,460,373
14.1085,6.9437,1,1,460,436
18.4709,8.6025,1,1,460,193
16.9888,8.2933,1,1,460,260
19.4182,7.6273,1,1,460,197
14.6617,5.0831,1,1,460,462
17.9592,10.0375,1,1,460,166
16.0899,10.4643,1,1,460,204
14.7572,5.5918,1,1,460,453
13.6694,6.5405,1,1,460,454
13.8108,6.6018,1,1,460,449
15.8599,5.9267,1,1,460,419
15.6776,8.2973,1,1,460,327
13.9861,10.2710,1,1,460,299
18.0023,6.0787,1,1,460,331
18.8984,9.1003,1,1,460,171
15.8383,8.2395,1,1,460,321
16.1484,6.6656,1,1,460,386
15.9478,9.2474,1,1,460,257
16.9019,7.0677,1,1,460,329
17.2531,6.2393,1,1,460,356
19.5515,8.9325,1,1,460,162
19.0103,9.5994,1,1,460,160
15.9829,8.3847,1,1,460,306
17.2588,8.9373,1,1,460,226
16.5692,8.6501,1,1,460,262
14.0129,7.5681,1,1,460,418
16.8909,8.3332,1,1,460,264
14.8916,8.6428,1,1,460,341
15.4347,4.6039,1,1,460,459
14.2902,8.1275,1,1,460,397
17.7572,5.7868,1,1,460,358
17.4824,7.3377,1,1,460,290
15.9216,9.9292,1,1,460,232
16.7039,6.2533,1,1,460,383
16.5762,10.7403,1,1,460,183
14.8297,9.8676,1,1,460,278
17.5867,7.2524,1,1,460,289
14.8511,7.3745,1,1,460,404
15.5677,9.9675,1,1,460,240
17.4781,10.4769,1,1,460,164
16.1063,6.6213,1,1,460,392
16.2928,8.9168,1,1,460,259
18.3380,6.7496,1,1,460,280
17.4109,9.7936,1,1,460,190
20.1779,7.4522,1,1,460,188
16.8988,5.9670,1,1,460,388
16.5832,8.7040,1,1,460,253
14.9648,5.7880,1,1,460,444
18.7261,6.8065,1,1,460,255
15.8844,7.2688,1,1,460,368
16.8030,9.7472,1,1,460,207
14.2722,8.2847,1,1,460,389
15.9054,9.0949,1,1,460,270
15.2714,8.7981,1,1,460,319
15.3622,9.1785,1,1,460,293
14.5347,6.6528,1,1,460,432
14.8409,5.2540,1,1,460,458
16.4029,11.4222,1,1,460,165
