x1,x2,True_Class,PT_Cluster,FHE_Cluster,Heap_Position
3.2777,0.8141,1,200,2,220
0.3876,0.1768,1,200,2,364
0.2685,0.5830,1,200,2,17
2.0311,0.2446,1,200,2,310
0.1887,0.4613,1,200,2,374
3.5255,0.2656,1,200,2,237
2.2296,0.6822,1,200,2,263
3.3921,0.4210,1,200,2,244
3.5898,0.8325,1,200,2,221
1.2279,0.8109,1,200,2,338
1.3007,0.1465,1,200,2,320
3.5970,0.4218,1,200,2,232
3.1068,0.7797,1,200,2,225
0.2211,0.6126,1,200,2,24
1.4968,0.4960,1,200,2,317
2.8605,0.5357,1,200,2,297
1.4507,0.1424,1,200,2,324
1.7458,0.0664,1,200,2,309
1.4048,0.3297,1,200,2,319
1.7696,0.7778,1,200,2,306
0.4645,0.6724,1,200,2,375
2.7508,0.1655,1,200,2,291
1.5710,0.0914,1,200,2,313
1.1817,0.8578,1,200,2,335
0.6620,0.6128,1,200,2,397
0.8286,0.7980,1,200,2,393
3.3139,0.2166,1,200,2,282
3.6256,0.5386,1,200,2,228
3.6112,0.5847,1,200,2,238
2.9045,0.4650,1,200,2,299
3.0804,0.2455,1,200,2,279
3.8512,0.5742,1,200,2,227
0.9450,0.0770,1,200,2,352
3.8342,0.2249,1,200,2,233
2.1791,0.7849,1,200,2,256
2.7164,0.9443,1,200,2,215
0.0298,0.9313,1,200,2,21
0.0955,0.3497,1,200,2,373
3.8355,0.8897,1,200,2,223
1.1427,0.8117,1,200,2,390
3.7474,0.6549,1,200,2,231
0.9489,0.1220,1,200,2,353
0.1608,0.7020,1,200,2,20
3.2888,0.7378,1,200,2,242
1.3562,0.0291,1,200,2,323
0.9163,0.5962,1,200,2,388
1.2529,0.5010,1,200,2,347
2.4712,0.3964,1,200,2,269
2.3649,0.9928,1,200,2,252
2.1723,0.2837,1,200,2,266
0.6713,0.0555,1,200,2,356
2.1654,0.1520,1,200,2,312
2.6613,0.4678,1,200,2,270
1.9265,0.7412,1,200,2,261
1.8996,0.6492,1,200,2,304
3.8299,0.7268,1,200,2,230
1.1335,0.5162,1,200,2,376
2.3099,0.7679,1,200,2,251
1.3714,0.9567,1,200,2,336
0.1519,0.2844,1,200,2,369
2.0969,0.4114,1,200,2,268
1.3005,0.7202,1,200,2,342
3.5348,0.1818,1,200,2,286
1.2179,0.4610,1,200,2,348
2.7270,0.6993,1,200,2,272
0.6821,0.0547,1,200,2,355
0.8378,0.9129,1,200,2,0
0.7992,0.5019,1,200,2,384
0.0420,0.6896,1,200,2,22
0.5210,0.0797,1,200,2,357
0.7197,0.4450,1,200,2,386
0.1975,0.3627,1,200,2,372
1.7245,0.6701,1,200,2,315
3.5745,0.0853,1,200,2,287
1.4167,0.7237,1,200,2,328
3.0371,0.5482,1,200,2,278
3.6450,0.3496,1,200,2,235
0.0496,0.0134,1,200,2,367
1.0239,0.9772,1,200,2,391
1.8156,0.3286,1,200,2,302
2.3125,0.5204,1,200,2,267
0.8553,0.4300,1,200,2,379
0.7606,0.7245,1,200,2,395
1.4849,0.7936,1,200,2,327
2.7257,0.7646,1,200,2,273
2.7893,0.2437,1,200,2,293
3.8036,0.2515,1,200,2,234
1.5916,0.4320,1,200,2,316
3.1025,0.6743,1,200,2,241
0.5652,0.6793,1,200,2,398
0.9854,0.1876,1,200,2,381
2.9482,0.3120,1,200,2,276
1.3236,0.6445,1,200,2,343
0.5525,0.6484,1,200,2,399
0.6354,0.4741,1,200,2,359
3.9287,0.2044,1,200,2,226
0.7809,0.8003,1,200,2,394
1.8726,0.8147,1,200,2,258
2.7598,0.1629,1,200,2,290
3.5048,0.6488,1,200,2,246
3.6833,0.5917,1,200,2,229
2.4411,0.0970,1,200,2,264
0.0315,0.4621,1,200,2,23
3.3870,0.0794,1,200,2,284
1.9826,0.5884,1,200,2,262
2.6965,0.2424,1,200,2,292
1.1593,0.1901,1,200,2,350
0.5760,0.9963,1,200,2,12
3.5384,0.2815,1,200,2,236
3.3047,0.7726,1,200,2,243
0.4385,0.8845,1,200,2,14
1.9379,0.8263,1,200,2,260
1.4340,0.3384,1,200,2,318
3.1129,0.6551,1,200,2,240
0.4134,0.1506,1,200,2,361
1.3588,0.4797,1,200,2,345
1.7313,0.9587,1,200,2,259
2.1309,0.0047,1,200,2,311
0.0579,0.9339,1,200,2,19
1.3652,0.6990,1,200,2,334
3.1011,0.9826,1,200,2,218
0.3311,0.2638,1,200,2,370
1.0868,0.3540,1,200,2,378
1.9964,0.5283,1,200,2,257
3.8459,0.7958,1,200,2,224
0.9859,0.4344,1,200,2,377
1.6882,0.9382,1,200,2,330
0.1620,0.8295,1,200,2,18
0.2877,0.8579,1,200,2,16
0.9728,0.9165,1,200,2,392
1.3051,0.6219,1,200,2,341
3.5154,0.4627,1,200,2,247
1.7363,0.8127,1,200,2,331
1.7881,0.1121,1,200,2,308
0.6930,0.8314,1,200,2,13
0.4591,0.2837,1,200,2,360
1.4216,0.9426,1,200,2,332
3.2221,0.9974,1,200,2,219
3.0551,0.6036,1,200,2,250
3.4397,0.5148,1,200,2,249
2.7426,0.6031,1,200,2,296
0.2584,0.3956,1,200,2,371
1.7079,0.2091,1,200,2,301
3.1109,0.8192,1,200,2,217
2.1991,0.8124,1,200,2,254
1.7849,0.3876,1,200,2,303
1.8863,0.6845,1,200,2,300
2.8868,0.9428,1,200,2,214
2.7774,0.7066,1,200,2,274
1.4635,0.4916,1,200,2,325
2.0733,0.9166,1,200,2,255
3.7282,0.9540,1,200,2,222
0.0787,0.2635,1,200,2,366
1.3735,0.6218,1,200,2,340
0.6989,0.4824,1,200,2,387
0.4489,0.0986,1,200,2,362
0.7356,0.1197,1,200,2,354
2.7242,0.5807,1,200,2,271
1.6354,0.5333,1,200,2,314
1.2884,0.8471,1,200,2,333
1.1853,0.5436,1,200,2,349
0.4523,0.7093,1,200,2,15
1.0210,0.5834,1,200,2,382
3.4657,0.5250,1,200,2,248
2.5327,0.9595,1,200,2,253
0.9860,0.0083,1,200,2,351
2.7503,0.6204,1,200,2,275
2.5779,0.2460,1,200,2,294
3.0367,0.9309,1,200,2,216
1.5646,0.9550,1,200,2,329
1.5185,0.9784,1,200,2,326
3.1423,0.4348,1,200,2,277
1.4832,0.1857,1,200,2,322
1.2935,0.8978,1,200,2,337
3.1765,0.0474,1,200,2,283
0.3987,0.1660,1,200,2,365
1.7170,0.1112,1,200,2,307
2.7772,0.0267,1,200,2,289
2.7024,0.5104,1,200,2,295
1.8078,0.7626,1,200,2,305
2.8826,0.5145,1,200,2,298
3.2997,0.2311,1,200,2,281
0.7257,0.5858,1,200,2,385
2.9270,0.2445,1,200,2,288
1.4349,0.4890,1,200,2,346
3.6120,0.6220,1,200,2,245
1.2580,0.2423,1,200,2,321
1.2866,0.5680,1,200,2,344
0.6895,0.7605,1,200,2,396
0.5981,0.2799,1,200,2,358
3.4995,0.1536,1,200,2,285
3.0937,0.1587,1,200,2,280
1.4313,0.5686,1,200,2,339
0.4604,0.2952,1,200,2,363
0.8842,0.5133,1,200,2,383
3.2750,0.4322,1,200,2,239
1.1648,0.6292,1,200,2,389
0.0392,0.0528,1,200,2,368
2.4127,0.5124,1,200,2,265
0.8336,0.3253,1,200,2,380
0.7253,3.9656,2,300,0,161
0.5731,2.9230,2,300,0,34
1.1778,2.5659,2,300,0,27
0.6616,3.9737,2,300,0,157
0.6522,2.2530,2,300,0,40
0.8122,3.2607,2,300,0,36
0.6529,1.6931,2,300,0,10
0.9631,4.9585,2,300,0,194
1.3286,3.5668,2,300,0,117
1.4967,5.2723,2,300,0,182
1.1527,3.5433,2,300,0,118
1.3699,2.3806,2,300,0,45
1.4939,4.2471,2,300,0,150
1.3455,5.2783,2,300,0,186
0.8197,4.6162,2,300,0,191
1.1078,4.1536,2,300,0,173
1.2833,4.3211,2,300,0,171
0.7488,1.6191,2,300,0,1
0.8219,4.8523,2,300,0,198
0.9080,3.1631,2,300,0,37
1.0610,1.9632,2,300,0,42
1.2053,4.3216,2,300,0,170
1.4779,5.0395,2,300,0,180
1.0979,2.9539,2,300,0,50
0.9386,3.0130,2,300,0,35
0.7803,5.2355,2,300,0,188
0.9033,4.8144,2,300,0,192
0.5591,3.5718,2,300,0,151
1.1736,2.0444,2,300,0,44
1.3473,5.2340,2,300,0,187
1.2887,2.6831,2,300,0,52
1.3766,2.0914,2,300,0,47
0.8923,3.8106,2,300,0,153
0.7035,3.9562,2,300,0,162
1.1422,4.9721,2,300,0,179
1.0018,4.2171,2,300,0,174
0.7778,4.4936,2,300,0,165
0.6527,4.8369,2,300,0,196
0.7212,2.7981,2,300,0,32
0.9675,5.3672,2,300,0,183
1.3347,2.5974,2,300,0,26
1.3688,1.7700,2,300,0,25
0.7763,4.2343,2,300,0,168
0.7469,4.6670,2,300,0,193
1.4115,4.0748,2,300,0,121
0.7406,4.3900,2,300,0,166
1.1842,3.0311,2,300,0,53
1.4527,4.1774,2,300,0,120
1.3419,4.6794,2,300,0,177
0.7598,3.9969,2,300,0,160
1.2739,1.5342,2,300,0,2
0.8919,5.1658,2,300,0,184
1.0117,3.9994,2,300,0,158
1.0545,2.5040,2,300,0,28
1.0219,4.4370,2,300,0,169
1.2491,3.3612,2,300,0,114
0.5969,2.3244,2,300,0,30
0.6418,4.3915,2,300,0,164
1.0412,1.8634,2,300,0,43
1.2210,4.4471,2,300,0,189
0.8503,2.0607,2,300,0,41
1.3121,1.5864,2,300,0,3
0.7074,3.3898,2,300,0,156
1.0190,4.5085,2,300,0,175
0.7831,2.7600,2,300,0,29
0.7404,1.6567,2,300,0,6
0.5208,1.7222,2,300,0,7
1.3817,1.9035,2,300,0,48
0.6587,2.4186,2,300,0,31
0.6114,1.7200,2,300,0,9
1.0994,3.2060,2,300,0,115
1.3611,4.8291,2,300,0,176
0.8763,2.3892,2,300,0,38
0.6907,5.0119,2,300,0,195
0.7014,3.8632,2,300,0,152
1.2531,4.6505,2,300,0,178
1.0572,3.8621,2,300,0,159
1.2412,1.7000,2,300,0,4
0.8406,4.9377,2,300,0,197
0.5198,2.8164,2,300,0,33
1.2352,3.8696,2,300,0,122
0.5845,1.9225,2,300,0,8
1.4184,1.7100,2,300,0,5
1.3705,3.7401,2,300,0,123
0.9661,4.6850,2,300,0,190
0.7481,4.1032,2,300,0,163
0.5331,2.0282,2,300,0,39
0.8130,4.8710,2,300,0,199
1.3806,5.0439,2,300,0,181
1.0389,5.3858,2,300,0,185
1.1750,4.0710,2,300,0,172
1.4829,3.6790,2,300,0,119
0.7956,4.2576,2,300,0,167
0.5509,1.6876,2,300,0,11
0.5979,3.5066,2,300,0,154
1.2192,3.4569,2,300,0,116
1.4228,3.8276,2,300,0,124
1.2654,1.9350,2,300,0,49
1.1395,2.1531,2,300,0,46
0.6685,3.3310,2,300,0,155
3.8415,2.7124,3,400,1,133
3.2659,3.3538,3,400,1,126
2.4200,2.6417,3,400,1,62
3.1319,2.5927,3,400,1,144
1.9193,3.0152,3,400,1,113
3.6540,2.4946,3,400,1,134
3.2145,1.9667,3,400,1,209
2.7811,2.2775,3,400,1,80
2.4030,2.8022,3,400,1,109
3.1821,2.1353,3,400,1,210
3.1986,3.0487,3,400,1,139
2.5059,2.5982,3,400,1,60
2.9836,2.5475,3,400,1,99
2.7006,2.6539,3,400,1,74
2.5077,2.4719,3,400,1,68
2.8780,2.2687,3,400,1,87
2.5689,2.6877,3,400,1,58
2.6939,3.0199,3,400,1,106
3.5278,3.1539,3,400,1,129
3.2037,2.2189,3,400,1,200
2.7780,2.8229,3,400,1,110
3.7830,2.0890,3,400,1,202
3.3042,3.0178,3,400,1,131
3.9776,2.5060,3,400,1,201
3.2637,2.5875,3,400,1,137
3.0459,3.1853,3,400,1,107
2.8800,1.6685,3,400,1,213
3.2336,2.5452,3,400,1,100
4.2295,2.0654,3,400,1,203
2.3796,1.8767,3,400,1,65
3.1629,2.7550,3,400,1,143
2.4288,2.3382,3,400,1,66
3.5413,2.3387,3,400,1,205
2.6384,2.5336,3,400,1,71
2.7833,2.3259,3,400,1,82
3.1860,2.2750,3,400,1,90
2.0278,2.8512,3,400,1,51
2.1918,2.1741,3,400,1,56
2.6811,2.3967,3,400,1,67
2.9876,2.6973,3,400,1,148
2.7837,2.1789,3,400,1,76
2.7264,2.4967,3,400,1,75
3.2360,2.7510,3,400,1,138
3.1044,2.5618,3,400,1,92
2.3932,3.5323,3,400,1,101
2.5971,1.9775,3,400,1,78
2.8786,2.9094,3,400,1,125
3.3268,2.8111,3,400,1,132
3.1965,2.1664,3,400,1,212
2.6530,2.2653,3,400,1,79
2.8557,2.5263,3,400,1,95
3.0321,2.4951,3,400,1,94
2.7003,2.4692,3,400,1,69
3.7168,1.8766,3,400,1,204
2.5147,3.1810,3,400,1,102
3.0242,2.3124,3,400,1,88
3.1570,2.5378,3,400,1,93
2.7562,2.6148,3,400,1,73
2.7426,2.8677,3,400,1,108
2.5922,2.7041,3,400,1,59
2.6262,2.5982,3,400,1,72
2.5086,1.9398,3,400,1,64
3.0998,2.8878,3,400,1,141
3.2830,3.1375,3,400,1,127
3.2375,1.9248,3,400,1,207
3.1049,1.8863,3,400,1,208
2.5029,2.4701,3,400,1,63
3.6196,2.5326,3,400,1,135
3.1547,2.1627,3,400,1,211
2.8900,2.2741,3,400,1,86
2.6695,2.4887,3,400,1,70
3.3917,2.0025,3,400,1,206
3.0417,2.7932,3,400,1,142
2.9489,2.5238,3,400,1,97
2.9750,2.5597,3,400,1,98
2.8514,3.1383,3,400,1,104
3.0416,2.1891,3,400,1,84
3.2787,3.1201,3,400,1,128
3.1547,2.9220,3,400,1,140
2.9935,2.4333,3,400,1,91
2.4523,2.6258,3,400,1,61
2.8332,3.0678,3,400,1,112
2.9725,2.6309,3,400,1,149
2.8823,2.6903,3,400,1,147
2.8109,2.6595,3,400,1,96
2.2869,2.4709,3,400,1,55
2.8958,3.0259,3,400,1,111
2.3957,2.8913,3,400,1,105
2.8732,3.1888,3,400,1,103
2.6786,2.3351,3,400,1,81
2.7677,2.7261,3,400,1,146
2.2886,2.7959,3,400,1,54
3.3752,2.5881,3,400,1,136
3.3667,3.0251,3,400,1,130
2.8496,2.7517,3,400,1,145
2.6361,2.0568,3,400,1,77
2.9383,2.3212,3,400,1,85
3.0809,2.2096,3,400,1,83
2.4045,2.6416,3,400,1,57
3.2487,2.2973,3,400,1,89
