x1,x2,True_Class,PT_Cluster,FHE_Cluster,Heap_Position
664159.0000,550946.0000,14,0,2424,1893
665845.0000,557965.0000,14,0,2424,1897
597173.0000,575538.0000,14,0,2424,2210
618600.0000,551446.0000,14,0,2424,2067
635690.0000,608046.0000,14,0,2424,2102
588100.0000,557588.0000,14,0,2424,2211
582015.0000,546191.0000,14,0,2424,2214
604678.0000,574577.0000,14,0,2424,2164
572029.0000,518313.0000,14,0,2424,2195
604737.0000,574591.0000,14,0,2424,2163
577728.0000,587566.0000,14,0,2424,2320
602013.0000,574722.0000,14,0,2424,2188
627968.0000,574625.0000,14,0,2424,2072
607269.0000,536961.0000,14,0,2424,2078
603145.0000,574795.0000,14,0,2424,2180
671919.0000,571761.0000,14,0,2424,1906
612184.0000,570393.0000,14,0,2424,2119
600032.0000,575310.0000,14,0,2424,2200
627912.0000,593892.0000,14,0,2424,2105
601967.0000,604428.0000,14,0,2424,2254
591851.0000,569051.0000,14,0,2424,2223
601444.0000,572693.0000,14,0,2424,2185
629718.0000,558104.0000,14,0,2424,2042
661430.0000,603567.0000,14,0,2424,2018
597551.0000,556737.0000,14,0,2424,2151
601182.0000,582584.0000,14,0,2424,2208
562704.0000,570596.0000,14,0,2424,2354
605107.0000,563429.0000,14,0,2424,2128
607214.0000,575069.0000,14,0,2424,2146
568824.0000,570203.0000,14,0,2424,2321
612485.0000,518009.0000,14,0,2424,2033
589244.0000,573777.0000,14,0,2424,2244
625579.0000,551084.0000,14,0,2424,2044
560237.0000,500154.0000,14,0,2424,2207
626224.0000,569687.0000,14,0,2424,2071
610666.0000,551701.0000,14,0,2424,2088
597428.0000,569940.0000,14,0,2424,2199
600582.0000,599535.0000,14,0,2424,2250
604168.0000,555003.0000,14,0,2424,2120
613871.0000,550423.0000,14,0,2424,2080
617310.0000,551945.0000,14,0,2424,2070
625728.0000,579460.0000,14,0,2424,2083
606300.0000,566708.0000,14,0,2424,2131
638559.0000,558807.0000,14,0,2424,2020
582176.0000,630383.0000,14,0,2424,2409
544056.0000,577786.0000,14,0,2424,2492
631297.0000,578351.0000,14,0,2424,2069
