x1,x2,x3,True_Class,PT_Cluster,FHE_Cluster,Heap_Position
1.2954,0.0508,-0.3852,1,100,270,148
1.4092,-0.0352,-0.2520,1,100,270,125
1.0968,0.2464,-0.4150,1,100,270,154
1.4633,0.2654,-0.5135,1,100,270,135
1.6033,0.0806,-0.4703,1,100,270,126
1.0018,-0.0833,-0.6814,1,100,270,211
1.5174,0.2867,-0.5479,1,100,270,132
1.6179,-0.1585,-0.3011,1,100,270,118
1.0832,-0.3711,-0.3587,1,100,270,190
1.6700,0.0866,-0.2806,1,100,270,100
1.4576,-0.4013,-0.4075,1,100,270,166
0.9143,0.2422,-0.3109,1,100,270,160
1.6437,0.1537,-0.2419,1,100,270,90
1.5954,-0.3104,-0.3687,1,100,270,145
1.1537,-0.2543,-0.8769,1,100,270,232
1.5250,0.1629,-0.8772,1,100,270,176
1.2477,-0.3331,-0.0375,1,100,270,138
0.8261,-0.3154,-0.3894,1,100,270,209
0.8773,0.3550,-0.6183,1,100,270,189
0.8093,0.3134,-0.2966,1,100,270,163
1.5466,0.0554,0.0570,1,100,270,77
1.5552,0.4837,-0.6592,1,100,270,124
1.5709,-0.4698,-0.2189,1,100,270,140
0.9618,0.3450,-0.8380,1,100,270,205
0.9486,-0.3274,-0.0210,1,100,270,161
1.5279,-0.0820,-1.0182,1,100,270,204
0.7884,-0.3769,-0.2976,1,100,270,207
0.9030,-0.1804,0.0452,1,100,270,149
1.8348,-0.1316,-0.7251,1,100,270,152
1.3691,-0.0194,-1.0953,1,100,270,227
1.2482,-0.6324,-0.6259,1,100,270,223
1.5541,-0.0023,0.1757,1,100,270,70
1.7573,-0.4613,-0.2995,1,100,270,133
1.8688,-0.0242,-0.7904,1,100,270,151
1.3027,0.6900,-0.4245,1,100,270,103
1.9243,-0.0755,-0.6835,1,100,270,137
1.2699,-0.4958,-0.9612,1,100,270,243
1.0942,-0.6234,-0.7593,1,100,270,244
1.9905,-0.0380,-0.4426,1,100,270,97
1.7551,0.1697,0.0575,1,100,270,58
1.6340,0.3234,0.0901,1,100,270,56
0.6931,-0.3795,-0.6836,1,100,270,252
0.5325,-0.0930,-0.5210,1,100,270,234
1.2148,0.7415,-0.5238,1,100,270,120
