x1,x2,True_Class,PT_Cluster,FHE_Cluster,Heap_Position
1.8496,0.0962,0,0,146,0
-0.4861,-0.0806,0,0,146,130
0.624,-0.0927,1,1,200,56
-0.3724,-0.2767,0,0,146,118
1.4168,-0.4354,0,0,146,14
-0.6033,-0.1666,0,0,146,139
1.5751,-0.2924,0,0,146,4
0.3881,0.6374,1,1,200,91
0.512,-0.163,1,1,200,64
0.5484,0.0914,1,1,200,69
-0.4929,-0.0622,0,0,146,132
1.5235,-0.1209,0,0,146,12
0.3317,0.4425,1,1,200,92
0.3428,0.0524,1,1,200,84
-0.9589,0.4288,1,1,200,157
-0.1185,0.6846,1,1,200,120
-0.4846,-0.1041,0,0,146,128
-1.0228,0.7322,1,1,200,159
-1.4655,0.3096,1,1,200,182
-1.6395,-0.1856,1,1,200,186
1.6215,-0.0488,0,0,146,7
0.4779,-0.8045,0,0,146,54
0.9076,-0.5595,0,0,146,42
1.0731,-0.5278,0,0,146,35
1.6684,-0.3315,0,0,146,1
-0.3631,-0.1006,0,0,146,122
0.2484,0.357,1,1,200,95
0.3755,0.4823,1,1,200,89
0.1083,0.5455,1,1,200,101
-1.5888,0.4045,1,1,200,197
1.3919,-0.3887,0,0,146,18
0.1619,0.4498,1,1,200,100
-1.2577,0.1621,1,1,200,161
0.1082,-0.6179,0,0,146,88
0.7197,-0.1309,1,1,200,52
-1.2346,0.8324,1,1,200,171
0.0729,0.6345,1,1,200,104
-0.413,0.7846,1,1,200,143
0.2858,0.237,1,1,200,90
-1.5515,0.0807,1,1,200,185
1.434,-0.2518,0,0,146,17
-1.6941,-0.1249,1,1,200,195
0.5291,-0.7235,0,0,146,53
1.177,-0.5342,0,0,146,29
1.1398,-0.7459,0,0,146,27
0.8945,-0.6512,0,0,146,41
-0.5186,-0.2132,0,0,146,129
-0.5898,-0.0865,0,0,146,140
0.4582,0.0337,1,1,200,73
0.5012,-0.0269,1,1,200,71
0.7308,-0.6947,0,0,146,46
-0.8816,0.438,1,1,200,154
1.0283,-0.6427,0,0,146,36
1.6006,-0.148,0,0,146,6
-1.3268,0.1874,1,1,200,165
1.3809,0.2639,0,0,146,31
1.1847,-0.6615,0,0,146,26
0.0333,0.638,1,1,200,105
0.6043,-0.1336,1,1,200,58
1.3302,-0.4029,0,0,146,20
1.0857,-0.5706,0,0,146,33
0.4736,0.111,1,1,200,75
0.7217,-0.7039,0,0,146,47
-0.4015,-0.1984,0,0,146,123
-0.1205,0.6405,1,1,200,117
-0.8191,0.9467,1,1,200,156
-0.4358,-0.2895,0,0,146,124
1.1705,-0.5708,0,0,146,28
0.505,0.2714,1,1,200,76
1.6033,0.0502,0,0,146,10
-1.4645,-0.1842,1,1,200,169
1.6168,0.0006,0,0,146,9
1.1018,-0.6082,0,0,146,32
-1.5694,0.2713,1,1,200,194
-0.3733,0.1401,0,0,146,126
-0.2039,-0.5515,0,0,146,102
0.6122,-0.6742,0,0,146,50
-1.2793,0.8159,1,1,200,176
-1.4745,0.1629,1,1,200,179
-0.6186,0.1456,0,0,146,145
1.6642,0.1737,0,0,146,8
0.2468,0.4791,1,1,200,96
0.5199,-0.0935,1,1,200,66
1.46,-0.1584,0,0,146,16
-1.2625,0.467,1,1,200,166
-0.1009,0.5308,1,1,200,114
1.2766,-0.4584,0,0,146,22
0.8205,-0.6304,0,0,146,45
-0.5281,-0.1664,0,0,146,134
-0.0185,0.662,1,1,200,112
1.6547,-0.3407,0,0,146,2
0.6984,-0.6038,0,0,146,49
0.3685,-0.168,1,1,200,78
-0.7618,0.5764,1,1,200,151
-0.5249,0.1594,0,0,146,141
-1.5197,0.4398,1,1,200,192
0.3527,0.2446,1,1,200,87
0.612,0.0111,1,1,200,60
1.2063,-0.5847,0,0,146,25
0.4762,0.3968,1,1,200,79
1.4308,-0.2869,0,0,146,15
0.7073,-0.6659,0,0,146,48
0.559,-0.8298,0,0,146,51
0.5469,0.1646,1,1,200,72
0.0038,-0.6845,0,0,146,94
0.1711,0.3574,1,1,200,98
-1.3397,0.462,1,1,200,173
-1.5479,0.0942,1,1,200,184
0.6051,0.3169,1,1,200,70
0.5138,-0.5747,0,0,146,55
-0.1394,-0.1988,0,0,146,103
-1.4507,0.1251,1,1,200,175
0.5677,-0.0471,1,1,200,63
-0.7572,0.6525,1,1,200,153
0.8597,-0.7186,0,0,146,43
-0.8066,0.8177,1,1,200,155
-1.6494,-0.1541,1,1,200,188
-1.4611,0.1429,1,1,200,177
-1.6363,0.0149,1,1,200,193
1.3197,-0.5242,0,0,146,19
-1.5572,-0.1768,1,1,200,178
-1.204,0.53,1,1,200,163
-0.548,0.5289,1,1,200,147
-0.918,0.6651,1,1,200,158
0.8212,-0.73,0,0,146,44
0.4518,0.1377,1,1,200,77
-0.2539,0.6465,1,1,200,127
0.1533,-0.7053,0,0,146,83
1.0317,-0.51,0,0,146,37
1.1017,-0.4925,0,0,146,34
-1.5909,0.1449,1,1,200,191
-0.1934,0.7928,1,1,200,125
-0.269,-0.2837,0,0,146,110
0.4321,-0.6422,0,0,146,61
-0.0742,-0.6232,0,0,146,97
0.3267,-0.073,1,1,200,82
-1.7826,-0.1754,1,1,200,198
0.0291,-0.6125,0,0,146,93
-1.5415,0.0908,1,1,200,183
0.0306,0.6631,1,1,200,107
0.506,-0.1406,1,1,200,67
-1.2993,0.3554,1,1,200,168
-0.7145,0.7631,1,1,200,152
0.5769,-0.2154,1,1,200,59
0.8937,-0.6942,0,0,146,40
0.1461,-0.7993,0,0,146,81
-0.5242,0.5421,1,1,200,146
-0.5291,0.0583,0,0,146,138
-1.208,0.678,1,1,200,167
-1.2463,0.4517,1,1,200,164
0.505,0.2118,1,1,200,74
-0.5713,-0.1597,0,0,146,136
0.3901,-0.5603,0,0,146,68
-0.1576,0.6407,1,1,200,121
1.1987,-0.4229,0,0,146,30
-0.4778,0.0282,0,0,146,135
-1.3502,0.4571,1,1,200,174
-0.2698,0.7316,1,1,200,131
1.3882,0.0172,0,0,146,23
0.5721,-0.0867,1,1,200,62
0.4579,-0.6965,0,0,146,57
-1.4758,0.1618,1,1,200,180
-0.2681,-0.2788,0,0,146,111
-0.1113,0.7055,1,1,200,119
0.1994,0.4857,1,1,200,99
